ID Node1 Node2 Node3 Nabr1 Nabr2 Nabr3
227 196 199 198 351 353 352
228 130 237 161 288 285 428
229 116 132 133 233 216 0
230 123 126 131 34 215 180
231 189 132 61 0 99 339
232 133 124 131 215 216 167
233 15 133 132 229 339 167
234 130 134 105 103 190 204
235 135 134 110 204 98 184
236 127 184 183 360 343 329
237 135 62 137 240 100 106
238 156 168 149 307 261 297
239 142 65 62 1 247 192
240 63 137 62 237 1 96
241 59 137 60 105 11 100
242 160 139 158 107 281 287
243 145 147 141 254 249 259
244 161 160 110 284 285 287
245 143 64 141 251 254 250
246 158 159 136 283 281 280
247 136 142 62 239 106 283
248 167 156 146 273 276 299
249 145 141 140 282 272 243
250 66 64 143 245 194 109
251 141 64 142 192 111 245
252 212 151 192 309 332 443
253 150 143 147 254 260 262
254 141 147 143 253 245 243
255 155 154 145 270 272 257
256 154 149 153 271 270 261
257 155 146 154 273 255 258
258 155 163 146 289 257 279
259 153 147 145 243 270 264
260 147 151 150 263 253 264
261 149 154 156 273 238 256
262 150 152 143 194 253 265
263 151 247 150 308 260 443
264 147 153 151 271 260 259
265 150 148 152 268 262 308
266 144 192 172 267 300 305
267 192 149 172 307 266 309
268 152 148 204 363 269 265
269 204 206 152 365 268 375
270 154 153 145 259 255 256
271 151 153 149 256 309 264
272 155 145 140 249 275 255
273 154 146 156 248 261 257
274 157 140 158 280 107 275
275 157 155 140 272 274 279
276 167 146 165 289 296 248
277 171 172 168 307 306 300
278 162 139 161 287 288 294
279 155 157 163 291 258 275
280 159 158 140 274 282 246
281 160 158 136 246 284 242
282 141 159 140 280 249 111
283 136 159 142 111 247 246
284 136 110 160 244 281 98
285 161 110 130 204 228 244
286 115 109 240 361 330 217
287 139 160 161 244 278 242
288 161 237 162 218 278 228
289 165 146 163 258 481 276
290 164 157 139 107 294 291
291 157 164 163 293 279 290
292 269 265 268 477 482 487
293 164 268 163 481 291 482
294 164 139 162 278 483 290
295 170 138 166 0 298 304
296 169 167 165 276 458 303
297 156 170 168 298 238 299
298 170 166 168 306 297 295
299 170 156 167 248 303 297
300 172 171 144 0 266 277
301 269 162 242 210 484 483
302 169 264 255 436 223 458
303 167 169 170 304 299 296
304 138 170 169 303 223 295
305 144 173 192 332 266 0
306 168 166 171 0 277 298
307 149 168 172 277 267 238
308 150 247 148 439 265 263
309 192 151 149 271 267 252
310 213 91 214 379 383 193
311 101 114 178 187 173 0
312 176 175 108 196 314 313
313 178 175 176 312 320 187
314 177 176 108 312 198 315
315 176 177 179 197 316 314
316 180 176 179 315 321 320
317 179 95 174 185 319 197
318 178 180 181 189 173 320
319 174 111 179 321 317 385
320 176 180 178 318 313 316
321 179 111 180 322 316 319
322 111 194 180 189 321 346
323 194 196 181 353 189 347
324 181 198 200 358 354 353
325 228 230 232 417 413 407
326 66 152 205 365 59 194
327 184 188 226 357 408 33
328 184 117 186 7 33 329
329 184 127 117 331 328 236
330 240 125 115 191 286 226
331 117 127 109 431 217 329
332 212 192 173 305 447 252
333 187 186 118 7 335 206
334 188 186 15 206 337 33
335 118 119 187 336 333 183
336 124 187 119 335 211 213
337 15 189 188 202 334 339
338 191 201 61 99 0 341
339 132 189 15 337 233 231
340 202 191 190 0 224 341
341 201 191 202 340 406 338
342 182 243 127 431 410 437
343 127 183 304 543 410 236
344 213 215 174 385 193 381
345 218 220 211 399 349 391
346 195 194 111 322 387 347
