ID X Y Lon Lat
1 810 1000 -95.9922464363036 23.0092016575938
2 810 950 -95.9922464753526 23.0087415669601
3 810 900 -95.9922465144012 23.0082814755426
4 810 850 -95.9922465534495 23.0078213833412
5 810 800 -95.9922465924973 23.0073612903559
6 810 750 -95.9922466315448 23.0069011965867
7 810 700 -95.9922466705918 23.0064411020335
8 810 650 -95.9922467096385 23.0059810066964
9 810 600 -95.9922467486847 23.0055209105753
10 810 550 -95.9922467877306 23.0050608136702
11 810 500 -95.9922468267761 23.0046007159811
12 810 450 -95.9922468658212 23.0041406175079
13 810 400 -95.9922469048659 23.0036805182507
14 810 350 -95.9922469439102 23.0032204182094
15 810 300 -95.9922469829541 23.002760317384
16 810 250 -95.9922470219976 23.0023002157744
17 810 200 -95.9922470610407 23.0018401133807
18 810 150 -95.9922471000835 23.0013800102028
19 810 100 -95.9922471391258 23.0009199062408
20 810 50 -95.9922471781678 23.0004598014945
21 810 0 -95.9922472172093 22.9999996959639
