ID X Y Elevation Lon Lat
192 825.4816 71.99484 1001.65 -95.9920989803121 23.0006621884634
193 1354.5 379.3128 1034.35 -95.9870351290911 23.0034896085522
194 1311.766 169.0627 1027.9 -95.9874444320974 23.0015549331183
195 1231.978 235.7842 1025.2 -95.9882080436668 23.0021690020789
196 1228.743 150.8492 1023.5 -95.9882391082847 23.0013874289897
197 1173 0 1017.75 -95.988772821986 22.9999993623959
198 1217.593 69.24538 1021.4 -95.9883459260936 23.0006365164311
199 1126.219 123.2939 1017.75 -95.9892204448302 23.0011339749247
200 1247.5 0 1021.5 -95.988059757405 22.9999992788324
201 349.2446 929.1328 1041.1 -95.9966569494723 23.0085497981927
202 253.125 917.4636 1045.55 -95.9975770314835 23.0084424470431
203 410.4909 540.1874 1030.3 -95.9960708395777 23.0049707446006
204 1038.095 254.1112 1016.1 -95.9900637888636 23.0023378518537
205 991.0291 393.1769 1016.4 -95.9905141511059 23.0036175810351
206 1056.215 345.578 1018.65 -95.9898902586691 23.0031795139918
207 992.6425 462.0343 1017.95 -95.990498642205 23.0042512042669
208 1055.659 499.176 1021.75 -95.989895424197 23.0045929211744
209 1133.361 390.5849 1023.55 -95.9891517934531 23.0035935893418
210 1128.625 310.0807 1021.7 -95.9891972126797 23.00285279397
211 1244.402 394.1961 1029.15 -95.988088936516 23.0036266972334
212 919.3535 93.40821 1006.9 -95.9912004752554 23.000859160374
213 1410.771 337.0413 1036.2 -95.9864965773239 23.0031005538442
214 1440.049 409.6868 1039.2 -95.9862162373651 23.0037689991502
215 1345.568 308.833 1032.45 -95.9871207149621 23.0028410638693
216 1294.63 351.0945 1030.75 -95.9876082221266 23.0032300171451
217 1282.829 281.5513 1028.85 -95.987721263469 23.0025900933788
218 1302.784 411.4147 1032.45 -95.9875300989282 23.0037850737403
219 1362.447 449.8224 1036 -95.9869589701596 23.0041384270663
220 1260.139 448.4237 1031 -95.9879382405321 23.0041256805994
221 1225.497 506.249 1030.35 -95.9882697574327 23.0046578271035
222 1206.312 434.6473 1027.95 -95.9884534761606 23.0039989719665
223 1189.27 380.4415 1026.1 -95.9886166601694 23.0035001896237
224 1231.538 328.3878 1027.1 -95.9882121452113 23.0030211436811
225 1167.117 175.6353 1020.75 -95.9888289325519 23.0016155807684
226 306.7995 877.0501 1042.25 -95.9970632592461 23.0080705546731
227 0 750 1055 -96 23.0069015006379
228 242.7378 827.9271 1044.35 -95.9976764810153 23.0076185484558
229 0 875 1057.5 -96 23.0080517335937
230 187.9222 879.6571 1048.1 -95.9982011739643 23.0080945711324
231 101.25 1000 1055 -95.9990308045358 23.0092019568993
232 141.6901 808.164 1049.2 -95.9986437259381 23.0074367091408
233 157.4947 944.3973 1051.15 -95.998492421788 23.0086903044755
234 107.1317 881.2065 1052.35 -95.9989745154043 23.0081088395139
235 105.4648 694.7465 1048.65 -95.9989904902414 23.0063930587489
236 57.34029 812.9523 1053.55 -95.9994511318325 23.0074807782075
237 463.5607 505.1054 1026.85 -95.9955628786909 23.0046479001357
238 464.7798 564.6309 1028.05 -95.9955511830079 23.0051956503277
239 404.1524 472.9176 1029.25 -95.9961315370075 23.0043517330127
240 421.0093 620.0702 1031.4 -95.9959701265274 23.0057058170012
241 299.4496 516.7168 1035.3 -95.9971337178591 23.0047548057814
242 383.6622 361.2879 1027.95 -95.9963277062431 23.003324525374
243 343.0423 612.2981 1034.95 -95.9967164241197 23.0056343263245
244 1025.031 150.2203 1013.25 -95.9901889346666 23.0013818545654
245 1018.28 556.7573 1021.1 -95.9902531526508 23.0051228175062
246 384 0 1020.75 -95.9963246066707 22.999999931669
247 919.0389 161.9986 1008.2 -95.9912034256578 23.0014903347874
248 960 0 1007 -95.9908115167007 22.9999995729315
249 992 69.47249 1009.9 -95.9905051674911 23.0006388373103
250 1098.5 0 1014 -95.9894858865682 22.9999994408154
251 1061.25 59.26394 1013.2 -95.9898423582308 23.0005448313403
252 1125.949 58.59169 1016.45 -95.9892230993521 23.0005385796529
253 50.625 937.9511 1056.3 -95.9995154052966 23.0086309979896
254 1086.364 177.1137 1016.75 -95.9896018588268 23.0016292694267
255 448 45.40132 1018.4 -95.9957120215092 23.0004176949959
256 388.3272 162.9241 1023.8 -95.9962831285919 23.0014991728266
257 374.0874 81.78277 1022.85 -95.9964194540114 23.0007525088405
258 251.0913 145.188 1030.4 -95.9975966854577 23.0013360046545
259 320 0 1024 -95.9969371722251 22.9999999525479
260 288 73.75885 1027 -95.9972434345248 23.0006786983865
261 128 0 1033.5 -95.9987748688897 22.9999999924077
262 321.9701 136.5621 1026.7 -95.9969182733486 23.0012566096595
263 312.8753 256.1515 1029.35 -95.9970052878693 23.0023570807956
264 459.7402 156.3931 1020.1 -95.9955996023968 23.0014390460528
265 432.4374 251.5497 1023.5 -95.995860891138 23.0023146935586
266 0 250 1045 -96 23.0023005198155
267 194.2965 70.59081 1031.65 -95.998140309538 23.0006495667213
268 503.5767 272.8667 1020.25 -95.9951799653398 23.0025108225075
269 454.2 331.4263 1023.85 -95.9956525537115 23.0030497112494
270 371.6051 226.5368 1026 -95.9964431612808 23.0020845464311
271 379.5301 293.7427 1026.9 -95.9963672821168 23.0027029748422
272 314.2317 331.6363 1030.85 -95.9969922821064 23.003051693515
273 315.4634 424.8652 1032.75 -95.9969804643438 23.003909585477
274 192.5081 296.069 1036.15 -95.9981573851939 23.0027244310923
275 0 128 1042.6 -96 23.0011778685948
276 124.3262 182.782 1037.45 -95.9988100101603 23.0016819692158
277 234.2418 379.3157 1035.85 -95.9977579071852 23.0034904600169
278 180.5814 139.9519 1033.8 -95.9982715702382 23.0012878357809
279 210.3693 216.1904 1033.8 -95.9979864407349 23.0019893818348
280 98.75792 90.8402 1036.8 -95.9990547460379 23.0008359164686
281 0 375 1047.5 -96 23.0034507723717
282 64.5976 149.866 1039.75 -95.9993817052815 23.0013790792306
283 64.49418 220.7026 1041.15 -95.9993826907599 23.0020309219051
284 129.3722 256.9063 1038.6 -95.998761703061 23.0023640641011
285 127.3547 330.632 1040.35 -95.998781004681 23.0030424901733
286 164.9043 389.8697 1039.55 -95.998421583427 23.0035875907273
287 59.91503 296.2585 1042.9 -95.999426515957 23.0027261903862
288 213.1087 473.5188 1038.75 -95.9979601675764 23.0043573198846
289 80.71349 401.7168 1044 -95.9992274327455 23.003696617257
290 132.4472 464.2875 1042.8 -95.9987322439591 23.0042723866428
291 0 437.5 1048.7 -96 23.0040258968121
292 62.14302 468.75 1046.4 -95.9994051801441 23.0043134567832
293 0 625 1052.5 -96 23.0057512627826
294 70.3584 562.5 1047.7 -95.9993265379036 23.0051761397234
295 163.2142 552.4702 1042.75 -95.9984377349932 23.0050838360185
296 0 64 1041.3 -96 23.0005889349398
297 64 0 1036.75 -95.9993874344448 22.9999999981019
298 70.30848 633.2962 1049.2 -95.9993270109329 23.00582760147
299 0 687.5 1053.7 -96 23.0063263823227
300 50.83417 718.75 1051.9 -95.9995134138143 23.0066139404359
301 100.9659 758.6773 1050.2 -95.9990335475185 23.0069813434034
302 148.4876 629.351 1045.1 -95.9985786850791 23.0057912901264
303 153.6505 730.2611 1046.85 -95.9985292511434 23.006719854583
304 209.6317 679.2567 1043.1 -95.997993407121 23.0062505079011
305 911.6423 480.1408 1014.1 -95.9912739425579 23.0044178912294
306 1468.438 512.5695 1042.8 -95.9859443598291 23.0047156847933
307 1295.742 565.1274 1035.05 -95.9875973110562 23.0051995411471
308 237.9613 559.8543 1039.2 -95.9977222638201 23.0051517701971
