index	iSoil	iGeol	iLC	IC	iForc	iMF	iBC	node0	node1	node2	nabr0	nabr1	nabr2	edge0	edge1	edge2	area	x	y	zmin	zmax	soil_index	infKsatV	ThetaS	ThetaR	Alpha	Beta	hAreaF	macKsatV	infD	geol_index	KsatH	KsatV	SpYield	geo_ThetaS	geo_ThetaR	geo_vAreaF	macKsatH	macD	LC_index	VegFrac	Albedo	Rs_ref	Rmin	Rough	RzD	SoilDgrd	ImpAF	Dist2Edge0	Dist2Edge1	Dist2Edge2	Dist2Nabor0	Dist2Nabor1	Dist2Nabor2	avgRough0	avgRough1	avgRough2	windH	FixPressure	AquiferDepth	WetlandLevel	RootReachLevel	MacporeLevel	
13	1	1	1	-9999	1	1	0	0	6	103	14	179	0	214	98.4698	74.5	74.02	2737.03	837.815	975.508	1015.58	1020.58	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	69.8862	62.0288	61.8849	43.6936	0	64.0683	0.00025	0.00025	0.00025	10	89.8259	5	4.9	4.48	4	
14	1	1	1	-9999	1	1	0	0	17	20	13	6	21	2	66.4818	79.6567	99.8976	2640.57	999.307	881.46	1021.6	1026.6	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	60.1136	63.992	70.7359	58.6178	56.8139	33.2158	0.00025	0.00025	0.00025	10	89.7614	5	4.9	4.48	4	
15	1	1	1	-9999	1	1	0	0	17	11	14	0	17	12	74.5	109.066	79.6567	2967.21	934.167	973.448	1020.22	1025.22	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	66.0411	77.1215	67.5289	0	43.6936	49.6667	0.00025	0.00025	0.00025	10	89.7762	5	4.9	4.48	4	
16	1	1	1	-9999	1	1	0	0	23	104	60	11	102	181	104.814	82.298	69.3444	2849.56	699.842	687.206	1013.73	1018.73	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	74.1656	66.6877	62.8981	34.8319	47.776	51.4275	0.00025	0.00025	0.00025	10	89.8457	5	4.9	4.48	4	
17	1	1	1	-9999	1	1	0	0	17	14	12	179	19	15	107.851	79.6567	109.066	4017.47	909.333	937.497	1018.23	1023.23	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	79.4216	70.6123	79.8352	46.7302	52.8455	43.6936	0.00025	0.00025	0.00025	10	89.7975	5	4.9	4.48	4	
18	1	1	1	-9999	1	1	0	0	19	10	18	23	22	25	70.077	98.9918	98.9918	3243.98	920.623	810.892	1016.2	1021.2	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	63.4699	72.4608	72.4608	49.694	43.6936	42.6776	0.00025	0.00025	0.00025	10	89.8193	5	4.9	4.48	4	
19	1	1	1	-9999	1	1	0	0	18	17	12	17	22	2	79.6567	70.077	70.0771	2296.44	928.553	888.271	1018.15	1023.15	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	58.3078	55.1471	55.1471	52.8455	52.8182	45.0353	0.00025	0.00025	0.00025	10	89.7983	5	4.9	4.48	4	
20	1	1	1	-9999	1	1	0	0	25	16	13	21	5	31	107.851	90.2213	125.464	4759.76	1062.92	934.328	1025.83	1030.83	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	83.7834	78.4005	89.7048	54.3475	63.8692	43.6936	0.00025	0.00025	0.00025	10	89.716	5	4.9	4.48	4	
21	1	1	1	-9999	1	1	0	0	16	17	13	14	20	12	79.6567	107.851	109.066	4017.47	1008.67	937.497	1023.23	1028.23	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	70.6123	79.4216	79.8352	56.8139	54.3475	43.6936	0.00025	0.00025	0.00025	10	89.7439	5	4.9	4.48	4	
22	1	1	1	-9999	1	1	0	0	19	18	12	19	177	18	70.077	98.9918	98.9918	3243.99	895.789	846.842	1015.65	1020.65	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	63.4699	72.4609	72.4608	52.8182	45.7617	43.6936	0.00025	0.00025	0.00025	10	89.8252	5	4.9	4.48	4	
23	1	1	1	-9999	1	1	0	0	18	10	20	27	2	18	66.4816	66.4816	70.077	1979.63	968.86	822.835	1018.85	1023.85	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	51.331	51.331	52.513	55.4012	45.3488	49.694	0.00025	0.00025	0.00025	10	89.7908	5	4.9	4.48	4	
24	1	1	1	-9999	1	1	0	0	33	21	10	27	26	113	111.67	104.898	92.7038	4523.98	999.719	733.272	1018.67	1023.67	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	81.9681	79.7001	75.8268	50.6309	51.947	53.4512	0.00025	0.00025	0.00025	10	89.7928	5	4.9	4.48	4	
25	1	1	1	-9999	1	1	0	0	10	19	31	45	26	18	77.8494	77.8494	98.9918	2974.16	907.475	770.29	1014.82	1019.82	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	63.7046	63.7046	70.6611	62.1462	55.4388	42.6776	0.00025	0.00025	0.00025	10	89.8341	5	4.9	4.48	4	
26	1	1	1	-9999	1	1	0	0	31	33	10	24	25	46	104.898	77.8494	92.7038	3491.13	947.782	732.227	1016.05	1021.05	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	75.4311	66.7388	71.3263	51.947	55.4388	48.8499	0.00025	0.00025	0.00025	10	89.8209	5	4.9	4.48	4	
27	1	1	1	-9999	1	1	0	0	20	10	21	24	10	23	111.67	111.67	66.4816	3543.75	1007.65	783.278	1020.08	1025.08	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	80.8594	80.8594	67.2727	50.6309	50.2538	55.4012	0.00025	0.00025	0.00025	10	89.7776	5	4.9	4.48	4	
28	1	1	1	-9999	1	1	0	0	67	40	68	115	39	61	59.4133	59.4138	62.843	1584.42	1108.42	682.928	1023.08	1028.08	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	45.9091	45.9093	47.0369	33.3359	35.5567	51.3241	0.00025	0.00025	0.00025	10	89.7455	5	4.9	4.48	4	
29	1	1	1	-9999	1	1	0	0	25	28	8	0	31	40	64	90.2214	102.343	2853.29	1133.92	970.278	1030.07	1035.07	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	60.8679	68.6723	72.797	0	46.1667	40.9721	0.00025	0.00025	0.00025	10	89.6707	5	4.9	4.48	4	
